StartTime,EndTime,AvgRate,total
2018/01/10 00:00:00,2018/01/10 02:00:00,428.81Mbps,385928496130
2018/01/10 02:00:00,2018/01/10 04:00:00,329.53Mbps,296575133277
2018/01/10 04:00:00,2018/01/10 06:00:00,277.39Mbps,249649501073
2018/01/10 06:00:00,2018/01/10 08:00:00,252.20Mbps,226984245888
2018/01/10 08:00:00,2018/01/10 10:00:00,456.02Mbps,410419885837
2018/01/10 10:00:00,2018/01/10 12:00:00,787.08Mbps,708372819661
2018/01/10 12:00:00,2018/01/10 14:00:00,888.58Mbps,799719282068
2018/01/10 14:00:00,2018/01/10 16:00:00,891.04Mbps,801932165647
2018/01/10 16:00:00,2018/01/10 18:00:00,701.14Mbps,631025860109
2018/01/10 18:00:00,2018/01/10 20:00:00,570.00Mbps,513002191989
2018/01/10 20:00:00,2018/01/10 22:00:00,505.57Mbps,455015081477
2018/01/10 22:00:00,2018/01/11 00:00:00,531.33Mbps,478194252768
2018/01/11 00:00:00,2018/01/11 02:00:00,536.16Mbps,482540581306
2018/01/11 02:00:00,2018/01/11 04:00:00,343.42Mbps,309074419430
2018/01/11 04:00:00,2018/01/11 06:00:00,241.92Mbps,217727884196
2018/01/11 06:00:00,2018/01/11 08:00:00,272.14Mbps,244924227585
2018/01/11 08:00:00,2018/01/11 10:00:00,476.38Mbps,428741882721
2018/01/11 10:00:00,2018/01/11 12:00:00,811.96Mbps,730764393891
2018/01/11 12:00:00,2018/01/11 14:00:00,925.55Mbps,832994701273
2018/01/11 14:00:00,2018/01/11 16:00:00,945.62Mbps,851056206173
2018/01/11 16:00:00,2018/01/11 18:00:00,804.26Mbps,723834097991
2018/01/11 18:00:00,2018/01/11 20:00:00,671.52Mbps,604368349653
2018/01/11 20:00:00,2018/01/11 22:00:00,535.56Mbps,482003032382
2018/01/11 22:00:00,2018/01/12 00:00:00,571.54Mbps,514381715194
2018/01/12 00:00:00,2018/01/12 02:00:00,439.53Mbps,395573559389
2018/01/12 02:00:00,2018/01/12 04:00:00,332.58Mbps,299323856450
2018/01/12 04:00:00,2018/01/12 06:00:00,281.88Mbps,253693290363
2018/01/12 06:00:00,2018/01/12 08:00:00,306.59Mbps,275933580028
2018/01/12 08:00:00,2018/01/12 10:00:00,369.70Mbps,332732887079
2018/01/12 10:00:00,2018/01/12 12:00:00,531.72Mbps,478550517749
2018/01/12 12:00:00,2018/01/12 14:00:00,602.37Mbps,542134220315
2018/01/12 14:00:00,2018/01/12 16:00:00,745.01Mbps,670509023191
2018/01/12 16:00:00,2018/01/12 18:00:00,616.60Mbps,554936647108
2018/01/12 18:00:00,2018/01/12 20:00:00,524.59Mbps,472128485486
2018/01/12 20:00:00,2018/01/12 22:00:00,536.13Mbps,482518307164
2018/01/12 22:00:00,2018/01/13 00:00:00,491.44Mbps,442292841771
2018/01/13 00:00:00,2018/01/13 02:00:00,507.12Mbps,456404310479
2018/01/13 02:00:00,2018/01/13 04:00:00,367.22Mbps,330494744415
2018/01/13 04:00:00,2018/01/13 06:00:00,257.07Mbps,231365730305
2018/01/13 06:00:00,2018/01/13 08:00:00,267.73Mbps,240957562945
2018/01/13 08:00:00,2018/01/13 10:00:00,320.07Mbps,288058753262
2018/01/13 10:00:00,2018/01/13 12:00:00,379.88Mbps,341892354770
2018/01/13 12:00:00,2018/01/13 14:00:00,485.38Mbps,436842787576
2018/01/13 14:00:00,2018/01/13 16:00:00,509.98Mbps,458979169125
2018/01/13 16:00:00,2018/01/13 18:00:00,513.69Mbps,462317955088
2018/01/13 18:00:00,2018/01/13 20:00:00,529.37Mbps,476435500405
2018/01/13 20:00:00,2018/01/13 22:00:00,543.09Mbps,488782765859
2018/01/13 22:00:00,2018/01/14 00:00:00,556.71Mbps,501038631461
2018/01/14 00:00:00,2018/01/14 02:00:00,466.43Mbps,419784436992
2018/01/14 02:00:00,2018/01/14 04:00:00,413.48Mbps,372130881804
2018/01/14 04:00:00,2018/01/14 06:00:00,267.81Mbps,241029620961
2018/01/14 06:00:00,2018/01/14 08:00:00,244.69Mbps,220216647042
2018/01/14 08:00:00,2018/01/14 10:00:00,280.53Mbps,252473753443
2018/01/14 10:00:00,2018/01/14 12:00:00,388.88Mbps,349989757746
2018/01/14 12:00:00,2018/01/14 14:00:00,445.46Mbps,400914090533
2018/01/14 14:00:00,2018/01/14 16:00:00,490.65Mbps,441587174030
2018/01/14 16:00:00,2018/01/14 18:00:00,458.75Mbps,412879399697
2018/01/14 18:00:00,2018/01/14 20:00:00,489.30Mbps,440368203442
2018/01/14 20:00:00,2018/01/14 22:00:00,520.90Mbps,468813248684
2018/01/14 22:00:00,2018/01/15 00:00:00,547.53Mbps,492775665969
2018/01/15 00:00:00,2018/01/15 02:00:00,443.44Mbps,399094203888
2018/01/15 02:00:00,2018/01/15 04:00:00,345.27Mbps,310741270584
2018/01/15 04:00:00,2018/01/15 06:00:00,245.44Mbps,220899078147
2018/01/15 06:00:00,2018/01/15 08:00:00,258.77Mbps,232890575466
2018/01/15 08:00:00,2018/01/15 10:00:00,430.61Mbps,387545326076
2018/01/15 10:00:00,2018/01/15 12:00:00,698.97Mbps,629075532405
2018/01/15 12:00:00,2018/01/15 14:00:00,901.14Mbps,811023215439
2018/01/15 14:00:00,2018/01/15 16:00:00,858.98Mbps,773080348737
2018/01/15 16:00:00,2018/01/15 18:00:00,679.93Mbps,611936723766
2018/01/15 18:00:00,2018/01/15 20:00:00,583.69Mbps,525317253954
2018/01/15 20:00:00,2018/01/15 22:00:00,505.63Mbps,455067123681
2018/01/15 22:00:00,2018/01/16 00:00:00,538.96Mbps,485060532415
2018/01/16 00:00:00,2018/01/16 02:00:00,419.93Mbps,377933337397
2018/01/16 02:00:00,2018/01/16 04:00:00,342.58Mbps,308324993339
2018/01/16 04:00:00,2018/01/16 06:00:00,266.42Mbps,239774352500
2018/01/16 06:00:00,2018/01/16 08:00:00,246.41Mbps,221767485101
2018/01/16 08:00:00,2018/01/16 10:00:00,435.56Mbps,392006205918
2018/01/16 10:00:00,2018/01/16 12:00:00,788.04Mbps,709231697545
2018/01/16 12:00:00,2018/01/16 14:00:00,922.00Mbps,829796437507
2018/01/16 14:00:00,2018/01/16 16:00:00,923.47Mbps,831124850521
2018/01/16 16:00:00,2018/01/16 18:00:00,815.03Mbps,733528710009
2018/01/16 18:00:00,2018/01/16 20:00:00,630.96Mbps,567865727238
2018/01/16 20:00:00,2018/01/16 22:00:00,615.80Mbps,554218032798
2018/01/16 22:00:00,2018/01/17 00:00:00,576.16Mbps,518546828153
2018/01/17 00:00:00,2018/01/17 02:00:00,543.39Mbps,489053642412
2018/01/17 02:00:00,2018/01/17 04:00:00,388.92Mbps,350028497113
2018/01/17 04:00:00,2018/01/17 06:00:00,256.54Mbps,230889030560
2018/01/17 06:00:00,2018/01/17 08:00:00,231.33Mbps,208198278359
2018/01/17 08:00:00,2018/01/17 10:00:00,407.02Mbps,366318359816
2018/01/17 10:00:00,2018/01/17 12:00:00,747.74Mbps,672964385885
2018/01/17 12:00:00,2018/01/17 14:00:00,917.75Mbps,825975571080
2018/01/17 14:00:00,2018/01/17 16:00:00,886.65Mbps,797981528097
2018/01/17 16:00:00,2018/01/17 18:00:00,789.39Mbps,710455447247
2018/01/17 18:00:00,2018/01/17 20:00:00,676.36Mbps,608727935427
2018/01/17 20:00:00,2018/01/17 22:00:00,648.95Mbps,584053253448
2018/01/17 22:00:00,2018/01/18 00:00:00,526.65Mbps,473987572648
2018/01/18 00:00:00,2018/01/18 02:00:00,485.80Mbps,437220964560
2018/01/18 02:00:00,2018/01/18 04:00:00,349.33Mbps,314396538663
2018/01/18 04:00:00,2018/01/18 06:00:00,283.20Mbps,254876657030
2018/01/18 06:00:00,2018/01/18 08:00:00,263.23Mbps,236908561048
2018/01/18 08:00:00,2018/01/18 10:00:00,428.31Mbps,385476851425
2018/01/18 10:00:00,2018/01/18 12:00:00,793.26Mbps,713932569806
2018/01/18 12:00:00,2018/01/18 14:00:00,923.47Mbps,831125945616
2018/01/18 14:00:00,2018/01/18 16:00:00,904.94Mbps,814447746485
2018/01/18 16:00:00,2018/01/18 18:00:00,760.97Mbps,684875578918
2018/01/18 18:00:00,2018/01/18 20:00:00,629.16Mbps,566240117019
2018/01/18 20:00:00,2018/01/18 22:00:00,632.96Mbps,569666226145
2018/01/18 22:00:00,2018/01/19 00:00:00,619.24Mbps,557314953524
2018/01/19 00:00:00,2018/01/19 02:00:00,460.81Mbps,414728818264
2018/01/19 02:00:00,2018/01/19 04:00:00,419.90Mbps,377909222401
2018/01/19 04:00:00,2018/01/19 06:00:00,298.57Mbps,268715589761
2018/01/19 06:00:00,2018/01/19 08:00:00,319.71Mbps,287736448487
2018/01/19 08:00:00,2018/01/19 10:00:00,526.90Mbps,474208384450
2018/01/19 10:00:00,2018/01/19 12:00:00,849.70Mbps,764727830745
2018/01/19 12:00:00,2018/01/19 14:00:00,918.34Mbps,826504133340
2018/01/19 14:00:00,2018/01/19 16:00:00,905.27Mbps,814743988516
2018/01/19 16:00:00,2018/01/19 18:00:00,787.75Mbps,708977956145
2018/01/19 18:00:00,2018/01/19 20:00:00,591.81Mbps,532629282359
2018/01/19 20:00:00,2018/01/19 22:00:00,530.00Mbps,476996647020
2018/01/19 22:00:00,2018/01/20 00:00:00,555.64Mbps,500076211130
2018/01/20 00:00:00,2018/01/20 02:00:00,494.12Mbps,444708536282
2018/01/20 02:00:00,2018/01/20 04:00:00,410.38Mbps,369344290479
2018/01/20 04:00:00,2018/01/20 06:00:00,285.89Mbps,257296812911
2018/01/20 06:00:00,2018/01/20 08:00:00,273.61Mbps,246247778820
2018/01/20 08:00:00,2018/01/20 10:00:00,357.67Mbps,321905892106
2018/01/20 10:00:00,2018/01/20 12:00:00,505.72Mbps,455145029337
2018/01/20 12:00:00,2018/01/20 14:00:00,537.60Mbps,483843212553
2018/01/20 14:00:00,2018/01/20 16:00:00,559.85Mbps,503863234449
2018/01/20 16:00:00,2018/01/20 18:00:00,484.40Mbps,435964112092
2018/01/20 18:00:00,2018/01/20 20:00:00,572.70Mbps,515425868262
2018/01/20 20:00:00,2018/01/20 22:00:00,566.21Mbps,509586664402
2018/01/20 22:00:00,2018/01/21 00:00:00,595.40Mbps,535862808109
2018/01/21 00:00:00,2018/01/21 02:00:00,559.49Mbps,503537109012
2018/01/21 02:00:00,2018/01/21 04:00:00,511.20Mbps,460080165411
2018/01/21 04:00:00,2018/01/21 06:00:00,363.33Mbps,326994425413
2018/01/21 06:00:00,2018/01/21 08:00:00,327.63Mbps,294864755962
2018/01/21 08:00:00,2018/01/21 10:00:00,350.16Mbps,315144106997
2018/01/21 10:00:00,2018/01/21 12:00:00,451.17Mbps,406049711958
2018/01/21 12:00:00,2018/01/21 14:00:00,424.83Mbps,382347246678
2018/01/21 14:00:00,2018/01/21 16:00:00,469.87Mbps,422886908350
2018/01/21 16:00:00,2018/01/21 18:00:00,489.83Mbps,440842631845
2018/01/21 18:00:00,2018/01/21 20:00:00,481.31Mbps,433174932058
2018/01/21 20:00:00,2018/01/21 22:00:00,517.42Mbps,465680332058
2018/01/21 22:00:00,2018/01/22 00:00:00,495.51Mbps,445955256850
2018/01/22 00:00:00,2018/01/22 02:00:00,428.94Mbps,386041651118
2018/01/22 02:00:00,2018/01/22 04:00:00,300.98Mbps,270878894422
2018/01/22 04:00:00,2018/01/22 06:00:00,237.10Mbps,213389543709
2018/01/22 06:00:00,2018/01/22 08:00:00,236.66Mbps,212993337696
2018/01/22 08:00:00,2018/01/22 10:00:00,422.18Mbps,379960209839
2018/01/22 10:00:00,2018/01/22 12:00:00,723.26Mbps,650933063934
2018/01/22 12:00:00,2018/01/22 14:00:00,864.29Mbps,777858803726
2018/01/22 14:00:00,2018/01/22 16:00:00,819.00Mbps,737101774663
2018/01/22 16:00:00,2018/01/22 18:00:00,620.14Mbps,558130215767
2018/01/22 18:00:00,2018/01/22 20:00:00,545.02Mbps,490520687825
2018/01/22 20:00:00,2018/01/22 22:00:00,533.93Mbps,480532582729
2018/01/22 22:00:00,2018/01/23 00:00:00,527.36Mbps,474627759976
2018/01/23 00:00:00,2018/01/23 02:00:00,491.78Mbps,442601311908
2018/01/23 02:00:00,2018/01/23 04:00:00,325.87Mbps,293286036967
2018/01/23 04:00:00,2018/01/23 06:00:00,236.54Mbps,212886536419
2018/01/23 06:00:00,2018/01/23 08:00:00,164.87Mbps,148386235343
2018/01/23 08:00:00,2018/01/23 10:00:00,312.81Mbps,281527977815
2018/01/23 10:00:00,2018/01/23 12:00:00,624.57Mbps,562114779961
2018/01/23 12:00:00,2018/01/23 14:00:00,801.64Mbps,721472786322
2018/01/23 14:00:00,2018/01/23 16:00:00,816.16Mbps,734541207663
2018/01/23 16:00:00,2018/01/23 18:00:00,684.51Mbps,616056641349
2018/01/23 18:00:00,2018/01/23 20:00:00,495.78Mbps,446204624999
2018/01/23 20:00:00,2018/01/23 22:00:00,474.69Mbps,427219526197
2018/01/23 22:00:00,2018/01/24 00:00:00,466.56Mbps,419900709431
2018/01/24 00:00:00,2018/01/24 02:00:00,428.11Mbps,385299035879
2018/01/24 02:00:00,2018/01/24 04:00:00,318.28Mbps,286447667392
2018/01/24 04:00:00,2018/01/24 06:00:00,241.87Mbps,217686956331
2018/01/24 06:00:00,2018/01/24 08:00:00,219.02Mbps,197118157618
2018/01/24 08:00:00,2018/01/24 10:00:00,417.69Mbps,375918598739
2018/01/24 10:00:00,2018/01/24 12:00:00,705.92Mbps,635327495233
2018/01/24 12:00:00,2018/01/24 14:00:00,706.50Mbps,635846588494
2018/01/24 14:00:00,2018/01/24 16:00:00,867.24Mbps,780516169647
2018/01/24 16:00:00,2018/01/24 18:00:00,722.85Mbps,650567484092
2018/01/24 18:00:00,2018/01/24 20:00:00,631.01Mbps,567909590513
2018/01/24 20:00:00,2018/01/24 22:00:00,602.46Mbps,542217624997
2018/01/24 22:00:00,2018/01/25 00:00:00,483.86Mbps,435474864939
2018/01/25 00:00:00,2018/01/25 02:00:00,440.19Mbps,396169058458
2018/01/25 02:00:00,2018/01/25 04:00:00,294.70Mbps,265234207212
2018/01/25 04:00:00,2018/01/25 06:00:00,301.44Mbps,271300256602
2018/01/25 06:00:00,2018/01/25 08:00:00,276.68Mbps,249013907203
2018/01/25 08:00:00,2018/01/25 10:00:00,403.20Mbps,362881318274
2018/01/25 10:00:00,2018/01/25 12:00:00,789.06Mbps,710155104749
2018/01/25 12:00:00,2018/01/25 14:00:00,861.58Mbps,775422018717
2018/01/25 14:00:00,2018/01/25 16:00:00,831.59Mbps,748429060385
2018/01/25 16:00:00,2018/01/25 18:00:00,696.08Mbps,626473061518
2018/01/25 18:00:00,2018/01/25 20:00:00,554.83Mbps,499350164421
2018/01/25 20:00:00,2018/01/25 22:00:00,503.92Mbps,453525994126
2018/01/25 22:00:00,2018/01/26 00:00:00,489.60Mbps,440640758654
2018/01/26 00:00:00,2018/01/26 02:00:00,446.83Mbps,402148264177
2018/01/26 02:00:00,2018/01/26 04:00:00,315.68Mbps,284107786169
2018/01/26 04:00:00,2018/01/26 06:00:00,244.83Mbps,220347808125
2018/01/26 06:00:00,2018/01/26 08:00:00,212.47Mbps,191222782950
2018/01/26 08:00:00,2018/01/26 10:00:00,398.23Mbps,358403569623
2018/01/26 10:00:00,2018/01/26 12:00:00,660.94Mbps,594845377266
2018/01/26 12:00:00,2018/01/26 14:00:00,788.91Mbps,710017765442
2018/01/26 14:00:00,2018/01/26 16:00:00,844.90Mbps,760409297182
2018/01/26 16:00:00,2018/01/26 18:00:00,698.72Mbps,628846261614
2018/01/26 18:00:00,2018/01/26 20:00:00,567.52Mbps,510770889544
2018/01/26 20:00:00,2018/01/26 22:00:00,426.17Mbps,383556408032
2018/01/26 22:00:00,2018/01/27 00:00:00,506.64Mbps,455979168450
2018/01/27 00:00:00,2018/01/27 02:00:00,487.50Mbps,438751883983
2018/01/27 02:00:00,2018/01/27 04:00:00,342.53Mbps,308273011287
2018/01/27 04:00:00,2018/01/27 06:00:00,242.56Mbps,218306041906
2018/01/27 06:00:00,2018/01/27 08:00:00,181.43Mbps,163285699123
2018/01/27 08:00:00,2018/01/27 10:00:00,241.68Mbps,217512127940
2018/01/27 10:00:00,2018/01/27 12:00:00,345.53Mbps,310976794909
2018/01/27 12:00:00,2018/01/27 14:00:00,437.41Mbps,393671272996
2018/01/27 14:00:00,2018/01/27 16:00:00,504.50Mbps,454049847395
2018/01/27 16:00:00,2018/01/27 18:00:00,469.02Mbps,422122384283
2018/01/27 18:00:00,2018/01/27 20:00:00,358.50Mbps,322652501852
2018/01/27 20:00:00,2018/01/27 22:00:00,372.67Mbps,335404096688
2018/01/27 22:00:00,2018/01/28 00:00:00,396.67Mbps,357003416860
2018/01/28 00:00:00,2018/01/28 02:00:00,396.53Mbps,356873717315
2018/01/28 02:00:00,2018/01/28 04:00:00,400.10Mbps,360090336001
2018/01/28 04:00:00,2018/01/28 06:00:00,287.03Mbps,258323683868
2018/01/28 06:00:00,2018/01/28 08:00:00,158.59Mbps,142730665102
2018/01/28 08:00:00,2018/01/28 10:00:00,193.71Mbps,174343382750
2018/01/28 10:00:00,2018/01/28 12:00:00,288.59Mbps,259730759309
2018/01/28 12:00:00,2018/01/28 14:00:00,368.00Mbps,331199975961
2018/01/28 14:00:00,2018/01/28 16:00:00,422.00Mbps,379803936600
2018/01/28 16:00:00,2018/01/28 18:00:00,462.72Mbps,416447246617
2018/01/28 18:00:00,2018/01/28 20:00:00,473.17Mbps,425854928282
2018/01/28 20:00:00,2018/01/28 22:00:00,448.16Mbps,403347689609
2018/01/28 22:00:00,2018/01/29 00:00:00,430.28Mbps,387252211582
2018/01/29 00:00:00,2018/01/29 02:00:00,389.41Mbps,350467574841
2018/01/29 02:00:00,2018/01/29 04:00:00,306.60Mbps,275938284037
2018/01/29 04:00:00,2018/01/29 06:00:00,190.21Mbps,171191105187
2018/01/29 06:00:00,2018/01/29 08:00:00,179.31Mbps,161375755342
2018/01/29 08:00:00,2018/01/29 10:00:00,315.42Mbps,283876813661
2018/01/29 10:00:00,2018/01/29 12:00:00,532.62Mbps,479356688042
2018/01/29 12:00:00,2018/01/29 14:00:00,639.44Mbps,575492797784
2018/01/29 14:00:00,2018/01/29 16:00:00,673.82Mbps,606433724803
2018/01/29 16:00:00,2018/01/29 18:00:00,590.38Mbps,531345600260
2018/01/29 18:00:00,2018/01/29 20:00:00,521.75Mbps,469572444968
2018/01/29 20:00:00,2018/01/29 22:00:00,525.75Mbps,473175914661
2018/01/29 22:00:00,2018/01/30 00:00:00,477.43Mbps,429683271096
2018/01/30 00:00:00,2018/01/30 02:00:00,391.46Mbps,352313713155
2018/01/30 02:00:00,2018/01/30 04:00:00,303.43Mbps,273084671670
2018/01/30 04:00:00,2018/01/30 06:00:00,198.82Mbps,178939749861
